S. No,Br. No ,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
124,10629,28-Mar-15,64417,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Ujjwala Enterprises Hubli,ºÀÄ.«.ªÁ.£ÀA. 27 gÀ ¹zÉƯĂ±Àégï UÁqÀđ£ï zÀ°è 12.5 «ÄĂ ºÉÊªÀiÁ¸ïÖ ¢Ă¥À ºÁUÀÆ «zÀÄåwÛĂPÀgÀt ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,Installation of 12.5 Mtr Highmast and Electrification work in Sideshwar Garden of ward no.27,31-Mar-15,517972,06-Jul-15,517972
125,2351,29-Jun-15,71246,AHEAD-100Cr.,Ahead-100 cr. Phase-3,Jadhav V.S.,zÀÉÆqÀØ £ÁAiÀÄ̀£ÀPÉÆ¥Àà ºË¹AUï ¨ÉÆĂqÀđ PÁ¯ÉÆĂ¤ ªÀÄÄRå gÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ ºÁUÀÆ G¥ÀgÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ. (EAqÉĂ£ïÖ £ÀA. 25131),"Improvements to road of dodanayakankoppa housing board colony main roads and sub roads.
",02-Jul-15,6831703,27-Aug-15,6831703
126,3028,10-Jul-13,28380,AHEAD-100Cr.,Ahead-100 cr.,P.I. Angadi and  Co,ºÀÄ.«.ªÁqÀđ £ÀA 41 gÀ ¹zÀ̃°AUÉĂ±ÀégÀ PÁ®¤ PÀÆqÀÄªÀ gÀ¸ÉÛUÉ ¸ÉĂvÀÄªÉ ¤ªÀiÁđt ªÀiÁqÀÄªÀzÀÄ.,CONSTRUCTION OF BRIDGE TO ROAD JOINING SIDDALINGESHWAR COLONY. WARD NO 41,17-Aug-13,1053837,21-Sep-15,750836
127,2482,02-Jul-15,57214,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Doddamani N.M.,J¸ï.JA. PÀÈµÀÚ £ÀUÀgÀ D±ÀæAiÀÄ PÁ¯ÉÆĂ¤ gÀ¸ÉÛUÀ¼À C©üªÀÈ¢̃ PÁªÀÄUÁgÀ ªÀ.£ÀA. 10,"Improvements to S.M. Krishna Nagar Ashray Layout coony, Hubli. Zone No. 10.",07-Jul-15,3825767,24-Sep-15,3825767
128,2750,10-Jul-15,69872,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Rashinkar S.L.,zsÁ.«.ªÁ.£ÀA05 gÀ PÀªÀÄ¯Á¥ÀÆgÀ ªÉÄĂ£ï gÉÆĂqÀ ±ÁAw PÁ®¤ UÁqÀđ£ï ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀzÀÄ.,"Improvements to garden of shanti colony, Kamlapur main road.",24-Jul-15,2022882,24-Sep-15,2022882
129,2870,15-Jul-15,62362,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Sureban A.B.,"¥ÁåPÉĂeï £ÀA.19, EAqÉAmï £ÀA.4636, ºÀÄ.«.ªÁqÀđ £ÀA.43gÀ ZÀ£Àß¥ÉĂl ªÀÄÄRå gÀ¸ÉÛ¬ÄAzÀ ¥ÁAqÀÄgÀAUÀ PÁ®¤ ªÀÄÄRå gÀ¸ÉÛªÀgÉUÉ gÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀzÀÄ.",Improvements of road from Channapeth main road to Panduranga colony main road at ward No.43,24-Jul-15,1595198,24-Sep-15,1595198
130,3488,04-Aug-15,68860,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Jadhav V.S.,"zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 09 gÀ PÉÆĂ½PÉĂj §¢AiÀÄ £Á¯ÁUÉ vÀqÉUÉÆĂqÉ PÀlÄÖªÀÅzÀÄ. ºÁUÀÆ zsÁ.«.ªÁ.£ÀA. 6 gÀ ªÀÄºÁAvÀ£ÀUÀgÀ 1,2£ÉĂ ªÀÄvÀÄÛ 3£ÉĂ PÁæ¸À (¨sÁUÀ±ÀB) PÁzÉÆæĂ½î NtÂ, §tUÁgÀ NtÂ ªÀÄvÀÄÛ gÁd£ÀUÀgÀ G¥ÀgÀ¸ÉÛUÀ½UÉ qÁA§jĂPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ. (EAqÉĂ£ïÖ £ÀA. 8014)",Regarding Nala work at Kolikeri ward no.09 & 6 Asphalting work of dharwad,07-Aug-15,1193174,24-Sep-15,1193174
131,3016,20-Jul-15,60916,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Raju H M,¸ÀÄvÀUÀnÖ UÁæªÀÄzÀ°è ¸É¦ÖPï mÁåAPÀ PÀlÄÖªÀzÀÄ. (EAqÉAl ¸ÀASÉå- 10068),Construction of Septic tank at Sutagatti Villege. (Indent No-10068).,03-Aug-15,1822367,24-Sep-15,1822367
132,3399,31-Jul-15,60691,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Shetty N I,1) £ÀÄVÎPÉĂj UÁæªÀÄzÀ gÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ. 2) ¸ÀvÀÆÛgÀ UÁæªÀÄ M¼ÀgÀ¸ÉÛUÀ½UÉ qÁA§jĂPÀgÀt. 3) zsÁgÀªÁqÀzÀ°è §gÀÄªÀ JwÛ£ÀUÀÄqÀØ UÁæªÀÄzÀ gÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ. 4) zsÁgÀªÁqÀ «¨sÁUÀzÀ ªÁqÀđ £ÀA.22 gÀ ElUÀnÖ UÁæªÀÄzÀ gÀ¸ÉÛ ºÁUÀÆ vÉgÉzÀ ZÀgÀAr ¤ªÀiÁđt.,1) Improvements Nuggikeri Village Roades. 2)Imp Rds of Sattur Village. 3) Imp to rds of Yattingudda Village. 4) Im to rds and drain of Ittigatti Village in ward No. 22,05-Aug-15,4795168,06-Oct-15,4795168
133,3140,25-Jul-15,49906,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Suresh Enterprises Pvt Ltd,ºÀÄ.«.ªÁqÀđ £ÀA 25 gÀ ¨sÉÊjzÉĂªÀgÀPÉÆ¥Àà zÁ¸ÀgÀ NtÂ gÀ¸ÉÛUÉ PÁAQæĂmï ¥ÉĂ«AUï ªÀiÁqÀÄªÀÅzÀÄ.,Ward no 25 concrete paving to bhairidevarakoppa dasara oni.,13-Aug-15,1919290,06-Oct-15,1919290
134,3139,25-Jul-15,49900,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Suresh Enterprises Pvt Ltd,ªÁqÀđ £ÀA 25gÀ G¦à£À ¯ÉĂOmï ZÉÊvÀ£Àå PÁ¯ÉÆĂ¤ M¼ÀgÀ¸ÉÛ qÁA§jĂPÀgÀt ªÀÄvÀÄÛ gÀ¸ÉÛAiÀÄ JgÀqÀÆ §¢UÉ UÀmÁgÀÄ ¤ªÀiÁđt ªÀiÁqÀÄªÀÅzÀÄ.,"ward no.25 SubRoad asphalting to Uppin layout,chaitanya colony and constuction of drain to both sides of roads.",13-Aug-15,1441504,06-Oct-15,1441504
135,3138,25-Jul-15,49911,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Suresh Enterprises Pvt Ltd,¹ªÀiÁè£ÀUÀgÀ §¸ïgÀÆl ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀzÀÄ ªÀÄvÀÄÛ M¼ÀgÀ¸ÉÛUÀ¼ÀÄ ºÁUÀÆ eÉ.¦.£ÀUÀgÀ ªÉÄĂ£ï gÉÆĂqÀ ¸ÀÄzsÀgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ.,"Improvement of road of shimlanagar bus route, and inner road of JP Nagar, Main road from, Lokur dyaman temple to basavanagar, dirty area of Krishanapur(Krishns colony)",13-Aug-15,1064827,06-Oct-15,1064827
136,3497,05-Aug-15,44455,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Shetty N I,§¸ÀªÉĂ±ÀégÀ£ÀUÀgÀ §¸ÀgÀÆl gÀ« £ÀUÀgÀ ªÀgÉUÉ ºÁUÀÆ UÉÆĂPÀÄ® gÀ¸ÉÛ¬ÄAzÀ gÁªÀÄ°AUÉĂ±ÀégÀ UÀÄr¬ÄAzÀ gÉĂtÄPÁ£ÀUÀgÀ ªÀÄÄRågÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ,Improvement of road at Basaveshwaranagar busroute ravinagar and gokul road ramalingeshwara temple till renukanagar main road.,13-Aug-15,1445316,06-Oct-15,1445316
137,3498,05-Aug-15,44508,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Shetty N I,«dAiÀÄ£ÀUÀgÀ §qÁªÀuÉ ²æĂ ªÀÄzsÀÄgÀPÀgÀ ªÀÄ£É ªÀÄÄA¢£À gÀ¸ÉÛ UÁqÀđ£ï ¥ÀPÀ̀zÀ gÀ¸ÉÛ ºÁUÀÆ wgÀÄ¥Àw §eÁgÀ »A¢£À gÀ¸ÉÛUÀ½UÉ qÁA§jĂPÀgÀt ªÀiÁqÀÄªÀzÀÄ.,"Asphalting to road at vijayanagar layout opposit to shri mdhukar house, garden beside road",21-Aug-15,1737294,06-Oct-15,1737294
138,3874,18-Aug-15,46707,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Shetty N I,eÉÆĂUÉ¯Áè¥ÀÆgÀ UÁæªÀÄzÀ°è ªÀÄÄRå gÀ¸ÉÛ ºÁUÀÆ G¥À gÀ¸ÉÛUÀ¼À£ÀÄß ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀzÀÄ.,Improvements to main roads and other roads in Jogellapur village Dharawad,21-Aug-15,1397584,06-Oct-15,1397550
139,4032,25-Aug-15,68538,AHEAD-100Cr.,Ahead-100 cr. Phase-2,Jadhav V.S.,zsÁ.«.ªÁqÀđ £ÀA 4 gÀ ªÉÄºÀ§Æ§£ÀUÀgÀ gÀ¸ÉÛUÀ¼À ºÁUÀÆ vÉgÉzÀ ZÀgÀAr ¸ÀÄzsÁgÀuÉ. ªÁqÀđ £ÀA 18 gÀ vÉĂd¹é £ÀUÀgÀ ªÀÄvÀÄÛ ªÁqÀđ £ÀA 16 ®Qëöä¹AUÀ£ÀPÉĂj £ÉgÉ ºÁªÀ½ vÀqÉ PÁªÀÄUÁj£À (EAqÉĂ£ïÖ £ÀA> 8417),Regarding Drain Work At Mehaboob Nagar Road in ward no 4,27-Aug-15,4529908,06-Oct-15,4529908
140,3529,06-Aug-15,72197,AHEAD-100Cr.,Ahead-100 cr. Phase-3,Sureban A.B.,"EAqÉAmï £ÀA. 25079, ºÀÄ.«.ªÁqÀđ £ÀA.59gÀ £ÁUÀ¥ÀÆgÀ UÁågÉĂd »A¢£À gÀ¸ÉÛ, ºÀÆUÁgÀ ¥Áèl gÀ¸ÉÛ, £ÀÆå EAVèĂµï ¸ÀÆ̀® »A¢£À gÀ¸ÉÛ ºÁUÀÆ UË¹AiÀiÁmË£À UÁqÀđ£À ºÀwÛgÀ gÀ¸ÉÛUÉ qÁA§jĂPÀgÀt. ªÀiÁqÀÄªÀzÀÄ.","Asphalting to Nagpur garage back road, Hugar Plot road, New English school back road & Near Gousia town Garden at ward no. 59.",10-Aug-15,1623891,07-Oct-15,1623891
141,4031,25-Aug-15,71714,AHEAD-100Cr.,Ahead-100 cr. Phase-3,Pantoji Mehmood .Hajrath.,"¥ÁåPÉĂeï £ÀA.32, EAqÉAmï £ÀA.25249, ºÀÄ.«.ªÁqÀđ £ÀA.65gÀ J¸ï JA PÀÈµÁÚ£ÀUÀgÀ, C¯ÁÛ¥sÀ £ÀUÀgÀ ºÁUÀÆ ²ªÁf ¥Áèmï  gÀ¸ÉÛUÉ PÁAQæĂl ¥ÉĂ«AUÀ ªÀiÁqÀÄªÀzÀÄ.","Concrete Paving to S.M Krishna nagar, Altaf nagar & Shivaji plot road at ward no. 65",28-Aug-15,2119045,07-Oct-15,2119045
142,4354,02-Sep-15,71212,AHEAD-100Cr.,Ahead-100 cr. Phase-3,Savadi S.K.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 07 ²ªÀUÀAUÁ£ÀUÀgÀzÀ°è gÀ¸ÉÛ ªÀÄvÀÄÛ vÉ.ZÀ.C©üªÀÈ¢Ư PÁªÀÄUÁj (EAqÉĂ£ïÖ £ÀA. 24976),Improvements to Road and open drains at ward no-7 shivganga nagar,03-Sep-15,7068671,07-Oct-15,7068671
143,5388,05-Oct-15,70961,AHEAD-100Cr.,Ahead-100 cr. Phase-3,Hanji C Vinayak,zsÁ.«.ªÁ.£ÀA. 15 «Ä±À£ï PÀA¥ËAqÀ ªÀÄÄRå gÀ¸ÉÛ vÉgÉzÀ ZÀgÀAr ªÀÄvÀÄÛ gÀ¸ÉÛ PÁAQæĂl ªÀiÁqÀÄªÀÅzÀÄ ºÁUÀÆ PÉ.E. ¨ÉÆĂqïđ ±Á¯É¬ÄAzÀ GvÀÛgÁ¢ü ªÀÄoÀzÀªÀgÉUÉ ±ÉÆĂ®Øgï PÁAQæĂmï  vÉgÉzÀ ZÀgÀAr C©üªÀÈ¢̃¥Àr¸ÀÄªÀÅzÀÄ . (EAqÉĂ£ïÖ £ÀA. 25187),"Construction of open drain and concrete paving at mission compound main road and Construction of open drain and shoulder concreting from K.E Board school till utaradimath.
",06-Oct-15,7659708,28-Oct-15,7659708
144,5389,05-Oct-15,70948,AHEAD-100Cr.,Ahead-100 cr. Phase-3,Hanji C Vinayak,zsÁ.«.ªÁ.£ÀA. 1 ²æĂ£ÀUÀgÀ ¹.L.n.©. gÀ¸ÉÛ ªÀÄvÀÄÛ vÉgÉzÀ ZÀgÀAr C©üªÀÈ¢̃ ¥Àr¸ÀÄªÀÅzÀÄ.(EAqÉĂ£ïÖ £ÀA. 25120),"Improvements to Road and drains at Srinagar , C.I.T.B colony.
",09-Oct-15,9811129,28-Oct-15,9811129
145,3413,31-Jul-15,73774,AHEAD-100cr-EMD-SD,AHEAD-100cr-EMD-SD,Rashinkar S.L.,zsÁgÀªÁqÀ DeÁzÀ ¥ÁPÀđ G¥ÀªÀ£À C©üªÀÈ¢̃¥Àr¸ÀÄªÀ PÁªÀÄUÁjAiÀÄ J¸ïr ºÀtªÀ£ÀÄß ²æĂ J¸ï J¯ï gÁ²£ÀPÀgÀ UÀÄwÛUÉzÁgÀgÀÄ EªÀjUÉ J¸ï.r.ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ,Refund of SD Bill. Shri Rashinkar S.L.,31-Jul-15,50199,04-Aug-15,50199
146,3414,31-Jul-15,73776,AHEAD-100cr-EMD-SD,AHEAD-100cr-EMD-SD,Rashinkar S.L.,ªÁqÀđ £ÀA.24 gÀ £ÀªÀ£ÀUÀgÀ GzÁå£ÀªÀ£À C©üªÀÈ¢̃¥Àr¸ÀÄªÀ PÁªÀÄUÁjAiÀÄ J¸ïr ºÀtªÀ£ÀÄß ²æĂ J¸ï J¯ï gÁ²£ÀPÀgÀ UÀÄwÛUÉzÁgÀgÀÄ EªÀjUÉ ªÀÄgÀÄ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,Refund of SD Bill. Shri.Rashinkar S.L.,31-Jul-15,163134,04-Aug-15,163134
147,10580,28-Mar-15,70900,Advance and Adjustments,Others,Health Officer Hubli,ºÀÄ§â½î ªÁå¦ÛAiÀÄ°è ¸ÁAPÁæ«ÄPÀ gÉÆĂUÀUÀ¼À ¤AiÀÄAvÀætPÁ̀V zsÀÆ«ÄĂPÀgÀt PÁAiÀÄđPÁ̀V ªÀÄÄAUÀqÀ ¥ÀqÉzÀ ºÀtªÀ£ÀÄß ªÀÄgÀÄ ºÉÆAzÁtÂPÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ,Regarding  Hubli Division fogging work Advance amount adjustment,31-Mar-15,100000,10-Apr-15,100000
148,10680,30-Mar-15,70964,Advance and Adjustments,Others,Chief Auditor,ªÀÄÄRå ¯ÉPÀ̀ ¥Àj±ÉÆĂzsÀPÀgÀ PÀbÉĂjAiÀÄ°è DqÀ½vÁvÀäPÀ RZÀÄđ ¨sÀj¸À®Ä ¥ÀqÉzÀ ªÀÄÄAUÀqÀ ºÀtPÉ̀ ªÀÄgÀÄ ºÉÆAzÁtÂPÉ ©®è ªÀiÁºÉ ªÀiÁZÀđ 2015,Post and Other advance Re-adjustment bill for the month of March 2015,31-Mar-15,2000,10-Apr-15,2000
149,10682,30-Mar-15,70960,Advance and Adjustments,Others,Chief Auditor,ªÀÄÄRå ¯ÉPÀ̀ ¥Àj±ÉÆĂzsÀPÀgÀ PÀbÉĂjAiÀÄ G¥ÀAiÉÆĂUÀPÁ̀V CAZÉ aĂn ªÀÄvÀÄÛ EvÀgÉ CªÀ±ÀåPÀ RZÀÄđ ¨sÀj¸À®Ä ªÀÄÄAUÀqÀ ºÀt ©®è ªÀiÁºÉ K¦æĂ¯ï 2015,Post and Other expenses advance bill for the month of April 2015,30-Mar-15,2000,10-Apr-15,2000
150,2,07-Apr-15,71048,Advance and Adjustments,Others,Hosamani Doddakarevva M,²æĂªÀÄw zÉÆqÀØPÀgÉªÀé JªÀiï ºÉÆ¸ÀªÀÄ¤ vÉÆĂnUÀ¼ÀÄ EªÀjUÉ ªÀÄ£É PÀlÖ®Ä ªÀÄÄAUÀqÀ ºÀt ¤ĂqÀÄªÀ PÀÄjvÀÄ.,"Construction of Building loan advance amount to Smt Doddakarevva M Hosamani, Gardener of Horticulture department.",07-Apr-15,500000,10-Apr-15,500000
151,11,07-Apr-15,71094,Advance and Adjustments,Others,Vishwanath S Patil,²æĂ «±Àé£ÁxÀ J¸ï ¥ÁnĂ® (J.zÀ.¸À) EªÀjUÉ ªÀÄ£É PÀlÖqÀ ¸Á® ªÀÄÄAUÀqÀ ºÀt ¸ÀAzÁAiÀÄ PÀÄjvÀÄ. (JgÀqÀ£ÉĂ ºÁUÀÆ PÉÆ£ÉAiÀÄ PÀAvÀÄ),House Building Advance to Shri Vishwanath S Patil (SDA). (Second & Final Bill),08-Apr-15,300000,10-Apr-15,300000
152,303,20-Apr-15,71380,Advance and Adjustments,Others,PRO,¸ÁªÀđd¤PÀ ¸ÀA¥ÀPÁđ¢üPÁjAiÀÄ ªÀiÁZÀđ-2015 ªÀÄvÀÄÛ J¦æĂ¯ï -2015 £ÉĂ wAUÀ¼À PÁAiÀÄA ªÀÄÄAUÀqÀ ºÀt ªÀÄgÀÄºÉÆAzÁtÂPÉ ªÀiÁr ºÀt ©qÀÄUÀqÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,PRO Imprest Advance Amount for Adjustment March-2015 To April -2015 regarding,23-Apr-15,29971,23-Apr-15,29971
153,10962,31-Mar-15,62891,Advance and Adjustments,Others,Deputy C M O Busstand Hosiptal Dharwad,ºÉjUÉ D¸ÀàvÉæ §¸ï ¤¯ÁƯt ºÀwÛgÀ zsÁgÀªÁqÀ E°èUÉ K¦æĂ¯ï-14 jAzÀ ªÀiÁZÀđ-15gÀ ªÀgÉUÉ vÀÄvÁđV ¨ÉĂPÁVgÀÄªÀ OµÀ¢ü ªÀÄvÀÄÛ gÀ¸ÁAiÀÄ¤PÀUÀ¼À£ÀÄß PÉÊ ªÀÄÄAUÀqÀ¢AzÀ RjĂ¢¸À¯ÁzÀ gÀPÀªÀÄ£ÀÄß ªÀÄgÀÄ ºÉÆAzÁuÉPÉ ªÀiÁrzÀ ©®Äè.(16/03/2015),Imprest amt. bill of Bus stand hospital  Dharwad purchase of Medicines for the month of April-14 to March-15.,06-Apr-15,7127,24-Apr-15,7127
154,10843,31-Mar-15,64032,Advance and Adjustments,Others,"Deputy Chief Medical Officer, Ganesh Peth",UÀuÉĂ±À¥ÉĂmÉ zÀªÁSÁ£ÉAiÀÄ SÁAiÀÄA ªÀÄÄAUÀqÀ ºÀt¢AzÀ OµÀ¢üUÀ¼À£ÀÄß RjĂ¢¹zÀ ©®Äè ªÀÄgÀÄ ºÉÆAzÁtÂPÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ. (25-03-2015),Re-adjustment of the Imprest Advance amount bill of Ganeshpet Hospital.,06-Apr-15,4977,24-Apr-15,4977
155,125,13-Apr-15,71213,Advance and Adjustments,Others,Chief Medical Officer Chitaguppi Hospital,alUÀÄ¦à D¸ÀàvÉæAiÀÄ SÁAiÀÄA ªÀÄÄAUÀqÀ ºÀt¢AzÀ OµÀ¢üAiÀÄ£ÀÄß RjĂ¢¹zÀ ©®Äè ªÀÄgÀÄ ºÉÆAzÁtÂPÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.(31/03/2015),Re-adjustment of the Imprest Advance amount bill of Chitaguppi Hospital.,20-Apr-15,23362,24-Apr-15,23362
156,435,24-Apr-15,71366,Advance and Adjustments,Others,Environmental Engineer Dharwad,¥Àj¸ÀgÀ C©üAiÀÄAvÀgÀgÀÄ zsÁgÀªÁqÀ EªÀjUÉ ¤ĂrzÀ SÁAiÀÄA ªÀÄÄAUÀqÀ ºÀtªÀ£ÀÄß ªÀÄgÀÄºÉÆAzÁtÂPÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,Advance Adjustment Environmental Engineer Dharwad (SWM),24-Apr-15,46846,24-Apr-15,46846
157,436,24-Apr-15,71367,Advance and Adjustments,Others,Environmental Engineer Dharwad,¥Àj¸ÀgÀ C©üAiÀÄAvÀgÀgÀÄ zsÁgÀªÁqÀ EªÀjUÉ ¤ĂrzÀ SÁAiÀÄA ªÀÄÄAUÀqÀ ºÀtªÀ£ÀÄß ªÀÄgÀÄºÉÆAzÁtÂPÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,Advance Adjustment Environmental Engineer Dharwad (SWM),24-Apr-15,84477,24-Apr-15,84477
158,452,24-Apr-15,71507,Advance and Adjustments,Others,Sabarad M B,¯ÉPÀ̀UÀ¼À ¸ÁÜ¬Ä ¸À«Äw CzsÀåAiÀÄ£À  ¥ÀæªÁ¸ÀzÀ ¸À®ÄªÁV ªÀÄÄAUÀqÀ ºÀt ¸ÀAzÁAiÀÄ PÀÄjvÀÄ.,Advance Amount Members of Accounts Committee  Tour in the month of April 2015.,24-Apr-15,400000,24-Apr-15,400000
159,453,24-Apr-15,71508,Advance and Adjustments,Others,Sabarad M B,vÉjUÉ ¤zsÀđgÀuÉ ªÀ ºÀtPÁ¸ÀÄ ªÀ C¦Ă®ÄUÀ¼À ¸ÁÜ¬Ä ¸À«ÄwAiÀÄ CzsÀåAiÀÄ£À ¥ÀæªÁ¸ÀzÀ ¸À®ÄªÁV ªÀÄÄAUÀqÀ ºÀt ¸ÀAzÁAiÀÄ PÀÄjvÀÄ.,Advance Amount Members of Finance Committee  Tour in the month of April 2015.,24-Apr-15,400000,24-Apr-15,400000
160,262,18-Apr-15,71337,Advance and Adjustments,Others,Pujar B M (Peon),"²æĂ ©.JªÀiï. ¥ÀÆeÁgÀ, CmÉAqÀgï, EªÀgÀ UÀÈºÀ ¤ªÀiÁđtPÁ̀V ªÀÄÄAUÀqÀ ºÀt ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.","Advance Sadilvar bill towards Building loan lend by Sri B M Pujar, Attender",28-Apr-15,500000,29-Apr-15,500000
161,352,22-Apr-15,71303,Advance and Adjustments,Others,Miyapur M N,²æĂ. ªÀÄºÁzÉĂªÀ ¤AUÀ¥Àà «ÄAiÀiÁ¥ÀÆgÀ (¹¥Á¬Ä) PÁAiÉÄƯ «¨sÁUÀ ºÀÄ§â½î  EªÀjUÉ ªÀÄ£É PÀlÖ®Ä ªÀÄÄAUÀqÀ ºÀt ªÀÄAdÆj PÀÄjvÀÄ.,"Home loan sanction to Law department peon,  Mahadevappa Ningappa Miyapur, 
",28-Apr-15,500000,29-Apr-15,500000
162,712,04-May-15,71744,Advance and Adjustments,Others,Smt. Ashwini Tippanna Majjagi (Mayor),¢ 12-05-2015 gÀAzÀÄ ªÉÄĂAiÀÄgï C²é¤ w¥ÀàuÁÚ ªÀÄfÓV EªÀgÀÄ zÉºÀ°UÉ ¥ÀæAiÀiÁtÂ¸ÀÄwÛgÀÄªÀ ¸À®ÄªÁV ªÀÄÄAUÀqÀ ºÀt ¸ÀAzÁAiÀÄ PÀÄjvÀÄ,Advance for Mayor Ashwini Tippanna Majjagi travelling to Delhi on 12-05-2015,04-May-15,30000,05-May-15,30000
163,207,16-Apr-15,71304,Advance and Adjustments,Others,Health Officer Hubli,DgÉÆĂUÁå¢üPÁjUÀ¼À ªÀÄÄAUÀqÀ ºÀt¢AzÀ ©Ă¢£Á¬Ä PÀaÑzÀ ¨ÁPÀ®PÀ£À aQvÉ́UÉ ¤rzÀÄƯ ¸ÀzÀgÀ ºÀtªÀ£ÀÄß ªÀÄgÀÄ ºÉÆAzÁtÂPÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,Advance amount adjustment for Health officer Advance amount to given dog bite Children,27-Apr-15,20000,14-May-15,20000
164,158,16-Apr-15,71305,Advance and Adjustments,Others,Asst. Commissioner Zonal Office No 08,qÁ|| ¨Á§Ä dUÀfĂªÀ£ÀgÁªÀÄ ºÁUÀÆ qÁ||©.Dgï.CA¨ÉĂqÀ̀gÀ gÀªÀgÀ d£Àä ¢£ÀZÁgÀuÉAiÀÄ CAUÀªÁV C¯ÉÆà¥ÀºÁgÀªÁV ¸À«ÄĂwUÉ ºÀt ¸ÀAzÁAiÀÄ ªÀiÁrzÀ PÀÄjvÀÄ.,Regarding Bill for the Breakfast of Dr. Babu Jagajeevanram and Dr. B.R. Ambedkar,07-May-15,170000,14-May-15,170000
165,539,28-Apr-15,71431,Advance and Adjustments,Others,Aladkatti B M,ªÀ®AiÀÄ PÀZÉĂj £ÀA:07 ²æĂ. ©.JªÀiï. D®zÀPÀnÖ. ¥Àæ.zÀ.¸ï EªÀjUÉ UÀÈºÀ ¤ªÀiÁđtPÁ̀V ºÀÄ. zsÁ. ªÀÄ. ¥Á°PÉAiÀÄ°è ªÀÄÄAUÀqÀªÁV ºÀt ¸Á® ¥ÀqÉAiÀÄÄªÀ PÀÄjvÀÄ.,Zonal No: 7 Approved for home loan to Shri. B. M. Aladakatti.,06-May-15,500000,14-May-15,500000
166,555,28-Apr-15,71585,Advance and Adjustments,Others,Council Secretry Hubli,¢: 06-03-2015 gÀAzÀÄ dgÀÄVzÀ ªÉÄĂAiÀÄgï ºÁUÀÆ G¥ÀªÉÄĂAiÀÄgï ZÀÄ£ÁªÀuÉAiÀÄ ¢£ÀzÀAzÀÄ ¥ÀjµÀvï PÁAiÀÄđzÀ²đ ºÉ¸Àj£À°è ¥ÀqÉzÀ ªÀÄÄAUÀqÀ ºÀt gÀÆ.50000/- UÀ¼À£ÀÄß RZÀÄđ ªÀiÁr ªÀÄgÀÄºÉÆAzÁtÂPÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,Advance adjustment of Rs. 50000/- for expenses incurred on Mayor and Dy. Mayor election Dtd 06-03-2015.,14-May-15,50000,18-May-15,50000
